agency_name,n_routes,total_trips,mean_trips_per_route,max_trips
Hodgsons,28,447,15.964285714285714,61
Travelmasters,28,105,3.75,46
Caledonian MacBrayne,28,4856,173.42857142857142,732
Country Bus,27,632,23.40740740740741,56
Falcon Buses,27,1141,42.25925925925926,214
Newbury & District,26,516,19.846153846153847,102
Stuart's Coaches,26,1019,39.19230769230769,136
Chaserider,26,1424,54.76923076923077,130
Sleafordian Coaches,26,91,3.5,30
Weardale Motor Services,26,395,15.192307692307692,57
Shiel Buses,25,340,13.6,55
Hams Travel,25,183,7.32,77
"First Halifax, Calder Valley & Huddersfield",25,10802,432.08,1092
Thames Valley Buses,25,1477,59.08,262
Northstar,25,205,8.2,56
Phil Anslow Travel,24,623,25.958333333333332,82
Pilkingtonbus,24,215,8.958333333333334,47
Cuckmere Buses,23,172,7.478260869565218,21
Sargeants Brothers,23,363,15.782608695652174,68
Shuttle Buses,23,1261,54.82608695652174,230
Xplore Dundee,23,5585,242.82608695652175,748
A2B Bus and Coach,23,354,15.391304347826088,63
York Pullman,23,840,36.52173913043478,440
First York,23,18263,794.0434782608696,1822
Morris Travel,23,225,9.782608695652174,27
CT4N,23,397,17.26086956521739,60
Somerset Council,23,191,8.304347826086957,40
Lynx,22,630,28.636363636363637,136
Dews Coaches,22,231,10.5,28
Blackpool Transport,22,3373,153.3181818181818,830
Coach Services,21,278,13.238095238095237,45
MD Coaches,21,71,3.380952380952381,8
First Halifax,21,10392,494.85714285714283,1316
Adventure Travel,21,1040,49.523809523809526,149
Coastliner,21,658,31.333333333333332,156
Scottish Borders Council,21,185,8.80952380952381,22
DGC Buses,21,368,17.523809523809526,77
Go Ahead Luton Parkway,21,4331,206.23809523809524,783
East Coast Buses,20,3162,158.1,533
First Leicester,20,8845,442.25,944
Redline,20,1035,51.75,265
Diamond Bus South East,20,813,40.65,248
Mulleys Motorways,19,190,10.0,28
The Harrogate Bus Company,19,1265,66.57894736842105,341
London Underground (TfL),19,42666,2245.5789473684213,6102
Borderbus,19,199,10.473684210526315,46
