check_id,category,dataset,column,severity,status,observed,expected,affected_rows,affected_pct,notes
X2.Census_vs_Eth.pop,CrossDataset,Census/Ethnicity,Population,INFO,PASS,0 LSOAs with diff>10,0,0,0.0,Census pop vs Ethnicity total mismatch >10. Max diff=10
R1.imd_score_x_income_score,Correlation,Multiple,imd_score × income_score,INFO,PASS,r=0.954,>=0.85 STRONG POSITIVE,0,0.0,Pearson r=0.954 vs expected STRONG POSITIVE (min r=0.85)
R1.imd_score_x_employ_score,Correlation,Multiple,imd_score × employ_score,INFO,PASS,r=0.957,>=0.8 STRONG POSITIVE,0,0.0,Pearson r=0.957 vs expected STRONG POSITIVE (min r=0.8)
R1.imd_score_x_health_score,Correlation,Multiple,imd_score × health_score,INFO,PASS,r=0.842,>=0.7 STRONG POSITIVE,0,0.0,Pearson r=0.842 vs expected STRONG POSITIVE (min r=0.7)
R1.imd_score_x_unemp_rate,Correlation,Multiple,imd_score × unemp_rate,INFO,PASS,r=0.792,>=0.55 STRONG POSITIVE,0,0.0,Pearson r=0.792 vs expected STRONG POSITIVE (min r=0.55)
R1.imd_score_x_nocar_pct,Correlation,Multiple,imd_score × nocar_pct,INFO,PASS,r=0.644,>=0.3 MODERATE POSITIVE,0,0.0,Pearson r=0.644 vs expected MODERATE POSITIVE (min r=0.3)
R1.income_score_x_unemp_rate,Correlation,Multiple,income_score × unemp_rate,INFO,PASS,r=0.807,>=0.65 STRONG POSITIVE,0,0.0,Pearson r=0.807 vs expected STRONG POSITIVE (min r=0.65)
R1.imd_score_x_crime_score,Correlation,Multiple,imd_score × crime_score,INFO,PASS,r=0.797,>=0.4 MODERATE POSITIVE,0,0.0,Pearson r=0.797 vs expected MODERATE POSITIVE (min r=0.4)
R1.imd_score_x_living_score,Correlation,Multiple,imd_score × living_score,INFO,PASS,r=0.288,>=-0.99 MODERATE,0,0.0,Pearson r=0.288 vs expected MODERATE (min r=-0.99)
B1.Census/Population.benford,Benford,Census,Residence type: Total; measures: Value,LOW,WARN,MAD=0.1223,MAD<0.015,0,0.0,Possible data anomaly: count column does not follow Benford's Law
B1.NOMIS/Pop16+.benford,Benford,NOMIS,Economic activity status: Total: All usual residents aged 16 years and over,LOW,WARN,MAD=0.1384,MAD<0.015,0,0.0,Possible data anomaly: count column does not follow Benford's Law
B1.NOMIS/Unemployed.benford,Benford,NOMIS,Economic activity status: Economically active (excluding full-time students): Unemployed,LOW,WARN,MAD=0.0472,MAD<0.015,0,0.0,Possible data anomaly: count column does not follow Benford's Law
B1.Age/Total.benford,Benford,Age,Age: Total,LOW,WARN,MAD=0.1223,MAD<0.015,0,0.0,Possible data anomaly: count column does not follow Benford's Law
B1.Cars/Households.benford,Benford,Cars,Number of cars or vans: Total: All households,LOW,WARN,MAD=0.1345,MAD<0.015,0,0.0,Possible data anomaly: count column does not follow Benford's Law
B1.IMD/Pop2022.benford,Benford,IMD,Total population: mid 2022,LOW,WARN,MAD=0.1188,MAD<0.015,0,0.0,Possible data anomaly: count column does not follow Benford's Law
BR1.IMD.decile_1_size,BusinessRule,IMD2025,Decile 1,INFO,PASS,3375,≈3375±5%,0,0.0,Decile 1 has 3375 LSOAs (0.0% deviation from expected)
BR1.IMD.decile_2_size,BusinessRule,IMD2025,Decile 2,INFO,PASS,3376,≈3375±5%,0,0.0,Decile 2 has 3376 LSOAs (0.0% deviation from expected)
BR1.IMD.decile_3_size,BusinessRule,IMD2025,Decile 3,INFO,PASS,3375,≈3375±5%,0,0.0,Decile 3 has 3375 LSOAs (0.0% deviation from expected)
BR1.IMD.decile_4_size,BusinessRule,IMD2025,Decile 4,INFO,PASS,3376,≈3375±5%,0,0.0,Decile 4 has 3376 LSOAs (0.0% deviation from expected)
BR1.IMD.decile_5_size,BusinessRule,IMD2025,Decile 5,INFO,PASS,3375,≈3375±5%,0,0.0,Decile 5 has 3375 LSOAs (0.0% deviation from expected)
BR1.IMD.decile_6_size,BusinessRule,IMD2025,Decile 6,INFO,PASS,3376,≈3375±5%,0,0.0,Decile 6 has 3376 LSOAs (0.0% deviation from expected)
BR1.IMD.decile_7_size,BusinessRule,IMD2025,Decile 7,INFO,PASS,3375,≈3375±5%,0,0.0,Decile 7 has 3375 LSOAs (0.0% deviation from expected)
BR1.IMD.decile_8_size,BusinessRule,IMD2025,Decile 8,INFO,PASS,3376,≈3375±5%,0,0.0,Decile 8 has 3376 LSOAs (0.0% deviation from expected)
BR1.IMD.decile_9_size,BusinessRule,IMD2025,Decile 9,INFO,PASS,3375,≈3375±5%,0,0.0,Decile 9 has 3375 LSOAs (0.0% deviation from expected)
BR1.IMD.decile_10_size,BusinessRule,IMD2025,Decile 10,INFO,PASS,3376,≈3375±5%,0,0.0,Decile 10 has 3376 LSOAs (0.0% deviation from expected)
BR2.NOMIS.national_rate,BusinessRule,NOMIS,Unemployment rate,INFO,PASS,4.87%,~4.8% (ONS Census 2021),0,0.0,National unemployment rate: 4.87% vs ONS published 4.8%
BR3.Census.total_pop,BusinessRule,Census,Total population,INFO,PASS,"56,490,056","56,490,048 (ONS 2021)",0,0.0,"England total population: 56,490,056 vs ONS 56,490,048 (diff=0.0000%)"
BR4.Census.min_pop,BusinessRule,Census,Population,INFO,PASS,0,>100 expected,0,0.0,LSOAs with population < 100 (below ONS minimum design threshold)
BR5.Census.max_pop,BusinessRule,Census,Population,INFO,PASS,0,"<10,000 typical",0,0.0,"LSOAs with population > 10,000 — far above ONS design maximum of ~3,000"
BR6.RUC.flag_complete,BusinessRule,RUC,Urban_rural_flag,INFO,PASS,0,0,0,0.0,LSOAs with missing urban/rural flag
A1.England_population,Accuracy,Multiple,England population,INFO,PASS,56490056,"[56490000,56500000]",0,0.0,"Accuracy check vs published aggregate: computed=56490056, reference=56490048"
A1.England_LSOA_count,Accuracy,Multiple,England LSOA count,INFO,PASS,33755,"[33750,33760]",0,0.0,"Accuracy check vs published aggregate: computed=33755, reference=33755"
A1.IMD_decile_count,Accuracy,Multiple,IMD decile count,INFO,PASS,10,"[10,10]",0,0.0,"Accuracy check vs published aggregate: computed=10, reference=10"
A1.National_unemp_rate_,Accuracy,Multiple,National unemp rate %,INFO,PASS,4.87,"[4.0,6.0]",0,0.0,"Accuracy check vs published aggregate: computed=4.87, reference=4.8"
A1.%_Urban_LSOAs,Accuracy,Multiple,% Urban LSOAs,INFO,PASS,83.5,"[80.0,86.0]",0,0.0,"Accuracy check vs published aggregate: computed=83.5, reference=82.6"
A1.%_UN1_(core_urban)_L,Accuracy,Multiple,% UN1 (core urban) LSOAs,INFO,PASS,77.6,"[72.0,79.0]",0,0.0,"Accuracy check vs published aggregate: computed=77.6, reference=75.9"
